date,inclination_deg,clear_sky_peak_wm2,clear_sky_daily_kwh_m2
2015-08-16,5,917.846,7.13677
2015-08-17,5,915.927,7.10556
2015-08-18,5,913.95,7.07379
2015-08-19,5,911.922,7.04147
2015-08-20,5,909.844,7.0086
2015-08-21,5,907.707,6.97518
2015-08-22,5,905.509,6.94123
2015-08-23,5,903.25,6.90675
2015-08-24,5,900.929,6.87174
2015-08-25,5,898.546,6.83621
2015-08-26,5,896.1,6.80017
2015-08-27,5,893.591,6.76362
2015-08-28,5,891.02,6.72656
2015-08-29,5,888.384,6.689
2015-08-30,5,885.685,6.65096
2015-08-31,5,882.922,6.61243
2015-09-01,5,880.094,6.57342
2015-09-02,5,877.202,6.53393
2015-09-03,5,874.245,6.49399
2015-09-04,5,871.223,6.45358
2015-09-05,5,868.14,6.41272
2015-09-06,5,865.019,6.37143
2015-09-07,5,861.835,6.3297
2015-09-08,5,858.586,6.28756
2015-09-09,5,855.274,6.245
2015-09-10,5,851.898,6.20204
2015-09-11,5,848.46,6.15869
2015-09-12,5,844.959,6.11497
2015-09-13,5,841.397,6.07087
2015-09-14,5,837.772,6.02642
2015-09-15,5,834.087,5.98163
2015-09-16,5,830.213,5.93526
2015-09-17,5,826.279,5.88857
2015-09-18,5,822.286,5.84157
2015-09-19,5,818.234,5.79429
2015-09-20,5,814.15,5.74673
2015-09-21,5,810.017,5.69892
2015-09-22,5,805.83,5.65085
2015-09-23,5,801.588,5.60255
2015-09-24,5,797.293,5.55404
2015-09-25,5,792.946,5.50532
2015-09-26,5,788.549,5.45641
2015-09-27,5,784.102,5.40732
2015-09-28,5,779.606,5.35808
2015-09-29,5,775.064,5.30869
2015-09-30,5,770.477,5.25917
2015-10-01,5,765.845,5.20954
2015-10-02,5,761.17,5.15981
2015-10-03,5,756.455,5.10999
2015-10-04,5,751.701,5.06011
2015-10-05,5,746.929,5.01018
2015-10-06,5,742.129,4.96022
2015-10-07,5,737.295,4.91026
2015-10-08,5,732.429,4.86029
2015-10-09,5,727.533,4.81036
2015-10-10,5,722.61,4.76047
2015-10-11,5,717.661,4.71065
2015-10-12,5,712.688,4.66091
2015-10-13,5,707.694,4.61128
2015-10-14,5,702.682,4.56177
2015-10-15,5,697.653,4.5124
2015-10-16,5,692.61,4.4632
2015-10-17,5,687.556,4.41418
2015-10-18,5,682.494,4.36537
2015-10-19,5,677.425,4.31679
2015-10-20,5,672.353,4.26846
2015-10-21,5,667.28,4.22039
2015-10-22,5,662.209,4.17261
2015-10-23,5,657.143,4.12514
2015-10-24,5,652.085,4.07801
2015-10-25,5,647.037,4.03123
2015-10-26,5,642.003,3.98481
2015-10-27,5,636.984,3.93879
2015-10-28,5,631.984,3.89318
2015-10-29,5,627.005,3.848
2015-10-30,5,622.051,3.80326
2015-10-31,5,617.124,3.759
2015-11-01,5,612.227,3.71522
2015-11-02,5,607.364,3.67196
2015-11-03,5,602.537,3.62922
2015-11-04,5,597.75,3.58704
2015-11-05,5,593.005,3.54542
2015-11-06,5,588.305,3.5044
2015-11-07,5,583.655,3.46399
2015-11-08,5,579.056,3.42421
2015-11-09,5,574.512,3.38507
2015-11-10,5,570.026,3.34661
2015-11-11,5,565.602,3.30884
2015-11-12,5,561.241,3.27177
2015-11-13,5,556.947,3.23542
2015-11-14,5,552.724,3.19982
2015-11-15,5,548.573,3.16498
2015-11-16,5,544.847,3.13362
2015-11-17,5,541.2,3.10305
2015-11-18,5,537.637,3.07328
2015-11-19,5,534.16,3.04434
2015-11-20,5,530.772,3.01623
2015-11-21,5,527.476,2.98898
2015-11-22,5,524.274,2.9626
2015-11-23,5,521.17,2.93711
2015-11-24,5,518.166,2.91251
2015-11-25,5,515.264,2.88883
2015-11-26,5,512.467,2.86608
2015-11-27,5,509.778,2.84427
2015-11-28,5,507.198,2.82341
2015-11-29,5,504.73,2.80352
2015-11-30,5,502.408,2.78462
2015-12-01,5,500.204,2.7667
2015-12-02,5,498.119,2.74979
2015-12-03,5,496.157,2.73389
2015-12-04,5,494.319,2.71903
2015-12-05,5,492.606,2.7052
2015-12-06,5,491.021,2.69242
2015-12-07,5,489.566,2.6807
2015-12-08,5,488.241,2.67005
2015-12-09,5,487.049,2.66048
2015-12-10,5,485.992,2.652
2015-12-11,5,485.069,2.6446
2015-12-12,5,484.317,2.63831
2015-12-13,5,483.711,2.63313
2015-12-14,5,483.245,2.62907
2015-12-15,5,482.919,2.62614
2015-12-16,5,482.406,2.62189
2015-12-17,5,481.705,2.61632
2015-12-18,5,481.146,2.61189
2015-12-19,5,480.729,2.60859
2015-12-20,5,480.455,2.60642
2015-12-21,5,480.324,2.6054
2015-12-22,5,480.36,2.60552
2015-12-23,5,480.56,2.60679
2015-12-24,5,480.903,2.6092
